2016-01-02,1451664000,,,
B2402442,P001,922,0000,1
B2402442,P001,923,0000,102
B2402442,P001,924,0000,7
B2402442,P001,926,0000,20
B2402442,P001,936,0000,11.8
B2402442,P001,937,0000,5.8
B2402442,P001,948,0000,67370
B2402442,P001,959,0000,170
B2402442,P001,911,0000,1.6
B2402442,P001,922,0000,1
B2402442,P001,923,0000,119
B2402442,P001,924,0000,5
B2402442,P001,926,0000,19
B2402442,P001,936,0000,11.8
B2402442,P001,937,0000,5.7
B2402442,P002,922,0000,5
B2402442,P002,923,0000,121
B2402442,P002,924,0000,4
B2402442,P002,926,0000,19
B2402442,P002,936,0000,12.2
B2402442,P002,937,0000,9
B2402442,P002,948,0000,59668
B2402442,P002,959,0000,166
B2402442,P002,911,0000,1.5
B2402442,P002,922,0000,5
B2402442,P002,923,0000,111
B2402442,P002,924,0000,3
B2402442,P002,926,0000,20
B2402442,P002,936,0000,11.9
B2402442,P002,937,0000,9.3
B2402442,P003,922,0000,4
B2402442,P003,923,0000,101
B2402442,P003,924,0000,5
B2402442,P003,926,0000,18
B2402442,P003,936,0000,11.6
B2402442,P003,937,0000,6.5
B2402442,P003,948,0000,59498
B2402442,P003,959,0000,180
B2402442,P003,911,0000,0.9
B2402442,P003,922,0000,4
B2402442,P003,923,0000,101
B2402442,P003,924,0000,8
B2402442,P003,926,0000,18
B2402442,P003,936,0000,11.1
B2402442,P003,937,0000,6.9
L0056153,P001,923,0000,82
L0056153,P001,924,0000,15
L0056153,P001,926,0000,6
L0056153,P001,936,0000,11
L0056153,P001,948,0000,99062
L0056153,P001,911,0000,0.8
L0056153,P001,923,0000,78
L0056153,P001,924,0000,15
L0056153,P001,926,0000,10
L0056153,P001,936,0000,10.9
L0056153,P002,923,0000,85
L0056153,P002,924,0000,18
L0056153,P002,926,0000,10
L0056153,P002,936,0000,10.4
L0056153,P002,948,0000,114472
L0056153,P002,911,0000,2
L0056153,P002,923,0000,87
L0056153,P002,924,0000,22
L0056153,P002,926,0000,12
L0056153,P002,936,0000,9.3
L0200473,P011,922,0000,31
L0200473,P011,923,0000,43
L0200473,P011,936,0000,4.8
L0200473,P011,948,0000,1845794
L0200473,P011,959,0000,98
L0200473,P011,911,0000,10.4
