2016-04-14,1460563200,,,
N0702450,PG01,922,0000,42
N0702450,PG01,923,0000,228
N0702450,PG01,936,0000,5.3
N0702450,PG01,948,0000,146525
N0702450,PG01,959,0000,56
N0702450,PG01,911,0000,11.2
N1400562,P004,922,0000,19
N1400562,P004,923,0000,203
N1400562,P004,936,0000,6.7
N1400562,P004,948,0000,146068
N1400562,P004,959,0000,56
N1400562,P004,911,0000,5.2
N1504207,P001,922,0000,0
N1504207,P001,923,0000,0
N1504207,P001,924,0000,0
N1504207,P001,936,0000,0
N1504207,P001,948,0000,0
N1504207,P001,959,0000,0
N1504207,P001,911,0000,0
N1505633,P001,922,0000,0
N1505633,P001,923,0000,0
N1505633,P001,924,0000,0
N1505633,P001,936,0000,0
N1505633,P001,948,0000,0
N1505633,P001,959,0000,0
N1505633,P001,911,0000,0
N1601229,P001,911,0000,5.8
N0702450,PG01,911,0006,11.3
N1400562,P004,911,0006,5.2
N1504207,P001,911,0006,0
N1505633,P001,911,0006,0
N1601229,P001,911,0006,5.8
N0702450,PG01,911,0012,11.3
N1400562,P004,911,0012,8
N1504207,P001,911,0012,0
N1505633,P001,911,0012,0
N1601229,P001,911,0012,5.8
N0702450,PG01,922,0015,42
N0702450,PG01,923,0015,236
N0702450,PG01,936,0015,5.4
N1400562,P004,922,0015,13
N1400562,P004,923,0015,202
N1400562,P004,936,0015,6.6
N1504207,P001,922,0015,0
N1504207,P001,923,0015,0
N1504207,P001,924,0015,0
N1504207,P001,936,0015,0
N1505633,P001,922,0015,0
N1505633,P001,923,0015,0
N1505633,P001,924,0015,0
N1505633,P001,936,0015,0
N0702450,PG01,911,0018,11.6
N1400562,P004,911,0018,5.5
N1504207,P001,911,0018,0
N1505633,P001,911,0018,0
N1601229,P001,911,0018,5.8
N0702450,PG01,911,0024,11.5
N1400562,P004,911,0024,5.2
N1504207,P001,911,0024,0
N1505633,P001,911,0024,0
N1601229,P001,911,0024,5.8
N0702450,PG01,911,0030,11.1
N0702450,PG01,922,0030,40
N0702450,PG01,923,0030,228
N0702450,PG01,936,0030,5.2
N1400562,P004,911,0030,7.9
N1400562,P004,922,0030,13
N1400562,P004,923,0030,208
N1400562,P004,936,0030,6.8
N1504207,P001,911,0030,0
N1504207,P001,922,0030,0
N1504207,P001,923,0030,0
N1504207,P001,924,0030,0
N1504207,P001,936,0030,0
N1505633,P001,911,0030,0
N1505633,P001,922,0030,0
N1505633,P001,923,0030,0
N1505633,P001,924,0030,0
N1505633,P001,936,0030,0
N1601229,P001,911,0030,5.8
N0702450,PG01,911,0036,11
N1400562,P004,911,0036,5.4
N1504207,P001,911,0036,0
N1505633,P001,911,0036,0
N1601229,P001,911,0036,5.8
N0702450,PG01,911,0042,10.9
N1400562,P004,911,0042,5.1
N1504207,P001,911,0042,0
N1505633,P001,911,0042,0
N1601229,P001,911,0042,5.7
N0702450,PG01,922,0045,41
N0702450,PG01,923,0045,221
N0702450,PG01,936,0045,5.2
N1400562,P004,922,0045,35
N1400562,P004,923,0045,200
N1400562,P004,936,0045,6.7
N1504207,P001,922,0045,0
N1504207,P001,923,0045,0
N1504207,P001,924,0045,0
N1504207,P001,936,0045,0
N1505633,P001,922,0045,0
N1505633,P001,923,0045,0
N1505633,P001,924,0045,0
N1505633,P001,936,0045,0
N0702450,PG01,911,0048,11
N1400562,P004,911,0048,6.9
N1504207,P001,911,0048,0
N1505633,P001,911,0048,0
N1601229,P001,911,0048,5.8
N0702450,PG01,911,0054,11
N1400562,P004,911,0054,5.5
N1504207,P001,911,0054,0
N1505633,P001,911,0054,0
N1601229,P001,911,0054,5.8
N0702450,PG01,922,0100,41
N0702450,PG01,923,0100,219
N0702450,PG01,936,0100,5.2
N0702450,PG01,948,0100,146356
N0702450,PG01,959,0100,57
N0702450,PG01,911,0100,11.1
N1400562,P004,922,0100,30
N1400562,P004,923,0100,191
N1400562,P004,936,0100,6.3
N1400562,P004,948,0100,145121
N1400562,P004,959,0100,56
N1400562,P004,911,0100,4.5
N1504207,P001,922,0100,0
N1504207,P001,923,0100,0
N1504207,P001,924,0100,0
N1504207,P001,936,0100,0
N1504207,P001,948,0100,0
N1504207,P001,959,0100,0
N1504207,P001,911,0100,0
N1505633,P001,922,0100,0
N1505633,P001,923,0100,0
N1505633,P001,924,0100,0
N1505633,P001,936,0100,0
N1505633,P001,948,0100,0
N1505633,P001,959,0100,0
N1505633,P001,911,0100,0
N1601229,P001,911,0100,5.6
N0702450,PG01,911,0106,11.1
N1400562,P004,911,0106,4.6
N1504207,P001,911,0106,0
N1505633,P001,911,0106,0
N1601229,P001,911,0106,5.6
N0702450,PG01,911,0112,11.2
N1400562,P004,911,0112,6.4
N1504207,P001,911,0112,0
N1505633,P001,911,0112,0
N1601229,P001,911,0112,5.6
N0702450,PG01,922,0115,41
N0702450,PG01,923,0115,222
N0702450,PG01,936,0115,5.2
N1400562,P004,922,0115,32
N1400562,P004,923,0115,189
N1400562,P004,936,0115,6.3
N1504207,P001,922,0115,0
N1504207,P001,923,0115,0
N1504207,P001,924,0115,0
N1504207,P001,936,0115,0
N1505633,P001,922,0115,0
N1505633,P001,923,0115,0
N1505633,P001,924,0115,0
N1505633,P001,936,0115,0
N0702450,PG01,911,0118,10.9
N1400562,P004,911,0118,4.5
