2016-11-17,1479312000,,,
Q7100254,P101,911,0000,11.11
Q7100254,P101,922,0000,18.88
Q7100254,P101,923,0000,178.0
Q7100254,P101,936,0000,7.55
Q7100254,P201,911,0000,8.74
Q7100254,P201,922,0000,18.81
Q7100254,P201,923,0000,201.2
Q7100254,P201,936,0000,8.48
Q7100254,P301,911,0000,11.41
Q7100254,P301,922,0000,48.98
Q7100254,P301,923,0000,88.75
Q7100254,P301,936,0000,5.67
Q7100254,P501,911,0000,16.15
Q7100254,P501,922,0000,23.14
Q7100254,P501,923,0000,43.74
Q7100254,P501,936,0000,6.19
Q7504010,P101,911,0000,0
Q7504010,P101,922,0000,0
Q7504010,P101,923,0000,0
Q7504010,P101,924,0000,0
Q7504010,P101,926,0000,0
Q7504010,P101,936,0000,0
Q7504010,P201,911,0000,2.4
Q7504010,P201,922,0000,13
Q7504010,P201,923,0000,68
Q7504010,P201,924,0000,29
Q7504010,P201,926,0000,11
Q7504010,P201,936,0000,7.2
Q7100254,P101,948,0000,164261.65
Q7100254,P101,959,0000,49.33
Q7100254,P201,948,0000,166404.73
Q7100254,P201,959,0000,49.7
Q7100254,P301,948,0000,290537.46
Q7100254,P301,959,0000,51.27
Q7100254,P501,948,0000,346235.1
Q7100254,P501,959,0000,51.11
Q6907286,P001,911,0000,0
Q6907286,P001,922,0000,0
Q6907286,P001,923,0000,0
Q6907286,P001,924,0000,0
Q6907286,P001,936,0000,0
Q6907286,P001,937,0000,0
Q6907286,P001,948,0000,0
Q6907286,P001,959,0000,0
Q6907286,P002,911,0000,0
Q6907286,P002,922,0000,0
Q6907286,P002,923,0000,0
Q6907286,P002,924,0000,0
Q6907286,P002,936,0000,0
Q6907286,P002,937,0000,0
Q6907286,P002,948,0000,0
Q6907286,P002,959,0000,0
Q6907286,P003,911,0000,0
Q6907286,P003,922,0000,0
Q6907286,P003,923,0000,0
Q6907286,P003,924,0000,0
Q6907286,P003,936,0000,0
Q6907286,P003,937,0000,0
Q6907286,P003,948,0000,0
Q6907286,P003,959,0000,0
Q7504010,P101,948,0000,0
Q7504010,P101,959,0000,0
Q7504010,P201,948,0000,94539
Q7504010,P201,959,0000,141
Q7100254,P101,911,0006,11.13
Q7100254,P201,911,0006,8.93
Q7100254,P301,911,0006,11.43
Q7100254,P501,911,0006,8.94
Q6907286,P001,911,0006,0
Q6907286,P002,911,0006,0
Q6907286,P003,911,0006,0
Q7504010,P101,911,0006,0
Q7504010,P201,911,0006,2.4
Q7100254,P101,911,0012,11.59
Q7100254,P201,911,0012,9.02
Q7100254,P301,911,0012,11.75
Q7100254,P501,911,0012,8.85
Q6907286,P001,911,0012,0
Q6907286,P002,911,0012,0
Q6907286,P003,911,0012,0
Q7504010,P101,911,0012,0
Q7504010,P201,911,0012,2.3
Q7100254,P101,922,0015,18.48
Q7100254,P101,923,0015,178.7
Q7100254,P101,936,0015,7.55
Q7100254,P201,922,0015,18.95
Q7100254,P201,923,0015,201.3
Q7100254,P201,936,0015,8.46
Q7100254,P301,922,0015,54.01
Q7100254,P301,923,0015,92.74
Q7100254,P301,936,0015,5.66
Q7100254,P501,922,0015,21.75
Q7100254,P501,923,0015,47.45
Q7100254,P501,936,0015,6.34
Q6907286,P001,922,0015,0
Q6907286,P001,923,0015,0
Q6907286,P001,924,0015,0
Q6907286,P001,936,0015,0
Q6907286,P001,937,0015,0
Q6907286,P002,922,0015,0
Q6907286,P002,923,0015,0
Q6907286,P002,924,0015,0
Q6907286,P002,936,0015,0
Q6907286,P002,937,0015,0
Q6907286,P003,922,0015,0
Q6907286,P003,923,0015,0
Q6907286,P003,924,0015,0
Q6907286,P003,936,0015,0
Q6907286,P003,937,0015,0
Q7504010,P101,922,0015,0
Q7504010,P101,923,0015,0
Q7504010,P101,924,0015,0
Q7504010,P101,926,0015,0
Q7504010,P101,936,0015,0
Q7504010,P201,922,0015,13
Q7504010,P201,923,0015,72
Q7504010,P201,924,0015,14
Q7504010,P201,926,0015,13
Q7504010,P201,936,0015,7.4
Q7100254,P101,911,0018,11.19
Q7100254,P201,911,0018,8.73
Q7100254,P301,911,0018,11.43
Q7100254,P501,911,0018,8.85
Q6907286,P001,911,0018,0
Q6907286,P002,911,0018,0
Q6907286,P003,911,0018,0
Q7504010,P101,911,0018,0
Q7504010,P201,911,0018,2.4
Q7100254,P101,911,0024,11.13
Q7100254,P201,911,0024,8.94
Q7100254,P301,911,0024,11.41
Q7100254,P501,911,0024,8.87
Q6907286,P001,911,0024,0
Q6907286,P002,911,0024,0
Q6907286,P003,911,0024,0
Q7504010,P101,911,0024,0
Q7504010,P201,911,0024,2.4
Q7100254,P101,911,0030,11.19
Q7100254,P101,922,0030,18.51
Q7100254,P101,923,0030,179.5
Q7100254,P101,936,0030,7.56
Q7100254,P201,911,0030,8.72
Q7100254,P201,922,0030,18.91
Q7100254,P201,923,0030,201.5
Q7100254,P201,936,0030,8.36
Q7100254,P301,911,0030,11.32
Q7100254,P301,922,0030,59.05
Q7100254,P301,923,0030,89.14
Q7100254,P301,936,0030,5.41
Q7100254,P501,911,0030,8.76
Q7100254,P501,922,0030,20.42
Q7100254,P501,923,0030,48.04
Q7100254,P501,936,0030,7.04
Q6907286,P001,911,0030,0
Q6907286,P001,922,0030,0
Q6907286,P001,923,0030,0
Q6907286,P001,924,0030,0
Q6907286,P001,936,0030,0
Q6907286,P001,937,0030,0
Q6907286,P002,911,0030,0
Q6907286,P002,922,0030,0
Q6907286,P002,923,0030,0
