2016-03-22,1458576000,,,
J5901658,P201,911,0000,8.40
J5901658,P201,922,0000,28.00
J5901658,P201,923,0000,186.00
J5901658,P201,936,0000,6.60
J6000230,P202,911,0000,0.00
J6000230,P205,911,0000,0.00
J5901658,P201,911,0006,8.70
J5901658,P201,922,0006,27.00
J5901658,P201,923,0006,191.00
J5901658,P201,936,0006,6.60
J5601064,P001,948,2200,419152.00
J5601064,P001,959,2200,84.00
J5601064,P002,948,2200,444321.00
J5601064,P002,959,2200,87.00
J5601064,P003,948,2200,420123.00
J5601064,P003,959,2200,90.00
J5901658,P201,948,2200,166692.00
J5901658,P201,959,2200,54.00
J6000230,P202,948,2200,0.00
J5601064,P001,923,2330,0.00
J5601064,P001,936,2330,20.70
J5601064,P002,923,2330,0.00
J5601064,P002,936,2330,20.50
J5601064,P003,923,2330,0.00
J5601064,P003,936,2330,20.50
J6000230,P202,923,2330,0.00
J6000230,P202,936,2330,20.80
J5901658,P201,911,2354,8.80
J5901658,P201,922,2354,28.00
J5901658,P201,923,2354,180.00
J5901658,P201,936,2354,6.40
J6000230,P202,911,2354,0.00
J6000230,P205,911,2354,0.00
