2017-08-25,1503590400,,,
E5600056,P006,911,0000,5
E5600056,P007,911,0000,7
E5600056,P008,911,0000,6
E5600056,P009,911,0000,10
E5600056,P016,911,0000,1
E5600056,P017,911,0000,4
E5600056,P018,911,0000,5
E5600056,P021,911,0000,5
E5600056,P022,911,0000,3
E5600056,P023,911,0000,-12
E5600056,P024,911,0000,3
E5600056,P004,922,0000,7
E5600056,P004,923,0000,42
E5600056,P004,924,0000,16
E5600056,P004,936,0000,6
E5600056,P006,922,0000,1
E5600056,P006,923,0000,77
E5600056,P006,924,0000,0
E5600056,P006,936,0000,4
E5600056,P007,922,0000,0
E5600056,P007,923,0000,21
E5600056,P007,924,0000,2
E5600056,P007,936,0000,4
E5600056,P008,922,0000,0
E5600056,P008,923,0000,0
E5600056,P008,924,0000,0
E5600056,P008,936,0000,0
E5600056,P016,922,0000,0
E5600056,P016,923,0000,0
E5600056,P016,936,0000,21
E5600056,P017,922,0000,0
E5600056,P017,923,0000,26
E5600056,P017,924,0000,0
E5600056,P017,936,0000,5
E5600056,P018,922,0000,0
E5600056,P018,923,0000,17
E5600056,P018,936,0000,3
E5600056,P021,922,0000,0
E5600056,P021,923,0000,0
E5600056,P021,936,0000,21
E5600056,P024,922,0000,5
S2100223,P015,222,0000,25
E5600056,P024,923,0000,24
S2100223,P015,223,0000,65
E5600056,P024,924,0000,2
S2100223,P015,236,0000,4
E5600056,P024,936,0000,5
S2100223,P015,248,0000,241366
E5600056,P034,923,0000,31
S2100223,P015,259,0000,151
E5600056,P034,936,0000,2
E5600056,P004,222,0000,7
E5600056,P004,223,0000,41
E5600056,P004,224,0000,14
E5600056,P004,236,0000,6
E5600056,P004,248,0000,92616
E5600056,P004,259,0000,117
E5600056,P006,222,0000,1
E5600056,P006,223,0000,74
E5600056,P006,224,0000,0
E5600056,P006,236,0000,4
E5600056,P006,248,0000,8011110
E5600056,P006,259,0000,131
E5600056,P007,222,0000,0
E5600056,P007,223,0000,21
E5600056,P007,224,0000,6
E5600056,P007,236,0000,4
E5600056,P007,248,0000,64298
E5600056,P007,259,0000,136
E5600056,P008,222,0000,0
E5600056,P008,223,0000,0
E5600056,P008,224,0000,0
E5600056,P008,236,0000,0
E5600056,P008,248,0000,12765
E5600056,P008,259,0000,43
E5600056,P016,222,0000,0
E5600056,P016,223,0000,0
E5600056,P016,236,0000,21
E5600056,P017,222,0000,0
E5600056,P017,223,0000,26
E5600056,P017,224,0000,3
E5600056,P017,236,0000,5
E5600056,P017,248,0000,334777
E5600056,P017,259,0000,275
E5600056,P018,222,0000,0
E5600056,P018,223,0000,17
E5600056,P018,224,0000,262
E5600056,P018,236,0000,3
E5600056,P018,248,0000,261284
E5600056,P018,259,0000,224
E5600056,P021,222,0000,0
E5600056,P021,223,0000,0
E5600056,P021,224,0000,0
E5600056,P021,236,0000,21
E5600056,P021,248,0000,0
E5600056,P021,259,0000,55
E5600056,P024,222,0000,5
E5600056,P024,223,0000,23
E5600056,P024,224,0000,2
E5600056,P024,236,0000,5
E5600056,P024,248,0000,195569
E5600056,P024,259,0000,116
E5600056,P034,223,0000,32
E5600056,P034,236,0000,2
E5600056,P034,248,0000,642509
E5600056,P034,259,0000,62
S1900658,P014,911,0000,0
S1900658,P014,923,0000,1
S1900658,P014,922,0000,0
S1900658,P014,936,0000,21
S2300438,P001,911,0000,7
E4900744,P001,911,0000,0
E4900744,P002,911,0000,7
E4900744,P023,911,0000,0
E5601197,P002,911,0000,3
E5601197,P003,911,0000,3
S2300401,P011,911,0000,11
S2300401,P011,923,0000,63
S2300401,P011,936,0000,7
S2300401,P011,922,0000,37
S2300401,P011,248,0000,182268
S2300401,P011,223,0000,66
S2300401,P011,236,0000,7
S2300401,P011,222,0000,43
S2300401,P011,259,0000,54
E4900744,P001,223,0000,3
E4900744,P023,223,0000,0
E4900744,P001,236,0000,21
E4900744,P023,236,0000,0
E4900744,P001,248,0000,11359
E4900744,P006,248,0000,160
E4900744,P023,248,0000,0
E4900744,P001,259,0000,32
E4900744,P023,259,0000,0
E5600869,P001,222,0000,106
E5600869,P001,223,0000,125
E5600869,P001,236,0000,8
E5600869,P001,248,0000,55532
E5600869,P001,259,0000,92
E5602998,P001,222,0000,1
E5602998,P001,223,0000,120
E5602998,P001,224,0000,12
E5602998,P001,226,0000,9
E5602998,P001,236,0000,13
E5602998,P001,248,0000,75433
E5602998,P001,259,0000,148
E5602998,P002,222,0000,4
E5602998,P002,223,0000,128
E5602998,P002,224,0000,2
E5602998,P002,226,0000,26
E5602998,P002,236,0000,13
E5602998,P002,248,0000,68544
E5602998,P002,259,0000,163
E5602998,P003,222,0000,5
E5602998,P003,223,0000,4
E5602998,P003,224,0000,18
E5602998,P003,226,0000,12
E5602998,P003,236,0000,20
E5602998,P003,248,0000,4943
E5602998,P003,259,0000,45
E5602998,P004,222,0000,0
E5602998,P004,223,0000,118
E5602998,P004,224,0000,6
E5602998,P004,226,0000,6
E5602998,P004,236,0000,11
E5602998,P004,248,0000,63877
E5602998,P004,259,0000,177
E5602998,P001,911,0000,0
E5602998,P002,911,0000,2
E5602998,P003,911,0000,2
E5602998,P004,911,0000,2
E5600869,P001,911,0000,3
E5600850,PC01,911,0000,5
S2202553,P001,911,0000,1
S2202553,P002,911,0000,1
S2202553,P003,911,0000,2
S1900710,P050,911,0000,3
S1900710,P056,911,0000,3
S1900710,P060,911,0000,3
S1900710,P070,911,0000,6
S1900710,P050,923,0000,102
S1900710,P050,936,0000,5
S1900710,P050,922,0000,17
S1900710,P056,923,0000,38
S1900710,P056,936,0000,5
S1900710,P056,922,0000,31
S1900710,P060,923,0000,22
S1900710,P060,936,0000,6
S1900710,P060,922,0000,6
S1900710,P070,923,0000,20
S1900710,P070,936,0000,7
S1900710,P070,922,0000,10
S1900710,P050,248,0000,66816
S1900710,P050,223,0000,101
S1900710,P050,236,0000,5
S1900710,P050,222,0000,17
S1900710,P050,259,0000,129
S1900710,P056,248,0000,150660
S1900710,P056,223,0000,38
S1900710,P056,236,0000,5
S1900710,P056,222,0000,31
S1900710,P056,259,0000,118
S1900710,P060,248,0000,157032
S1900710,P060,223,0000,21
S1900710,P060,236,0000,6
S1900710,P060,222,0000,6
S1900710,P060,259,0000,104
S1900710,P070,248,0000,196776
S1900710,P070,223,0000,21
S1900710,P070,236,0000,7
S1900710,P070,222,0000,10
S1900710,P070,259,0000,75
S1900710,P015,911,0000,0
S1900710,P015,923,0000,0
S1900710,P015,936,0000,0
S1900710,P015,922,0000,0
S1900710,P015,248,0000,0
S1900710,P015,223,0000,0
S1900710,P015,236,0000,0
S1900710,P015,222,0000,0
S1900710,P015,259,0000,0
S1901066,P004,911,0000,6
S1602755,P101,911,0000,4
S1602755,P201,911,0000,4
S1602755,P301,911,0000,3
S1900569,P002,911,0000,0
S1900569,P012,911,0000,12
E5600841,P001,911,0000,5
