2019-04-28,1556380800,,,
F0501686,P001,923,0000,86.00
F0501686,P002,924,0000,3.00
F0701702,P001,923,0000,0.00
F0701702,P002,911,0000,5.00
F0703948,P001,924,0000,0.00
F0703948,P002,922,0000,0.00
F0703948,P003,922,0000,0.00
F1600491,P901,911,0000,12.80
F1700736,P601,923,0000,19.00
F1700736,P701,911,0000,1.00
F1700736,P801,911,0000,0.30
F0501686,P001,911,0000,0.50
F0501686,P001,924,0000,27.00
F0501686,P002,922,0000,17.00
F0701702,P001,911,0000,0.90
F0703948,P001,923,0000,0.00
F0703948,P002,911,0000,0.00
F0703948,P003,924,0000,0.00
F1600491,P901,922,0000,28.00
F1700736,P601,911,0000,2.30
F1700736,P801,923,0000,0.00
F0501686,P002,911,0000,1.30
F0701702,P002,923,0000,0.00
F0703948,P001,922,0000,0.00
F0703948,P002,924,0000,0.00
F0703948,P003,911,0000,0.00
F1600491,P901,923,0000,55.00
F1700736,P701,922,0000,8.00
F1700736,P701,923,0000,3.00
F2300972,P101,922,0000,5.00
F2300972,P201,922,0000,5.00
F2300972,P301,923,0000,80.00
F2300972,P101,911,0000,1.30
F2300972,P201,924,0000,2.00
F2300972,P301,924,0000,1.00
F2300972,P101,923,0000,120.00
F2300972,P201,923,0000,92.00
F2300972,P301,911,0000,1.50
F0501686,P001,922,0000,10.00
F0501686,P002,923,0000,70.00
F0701702,P001,922,0000,9.00
F0701702,P002,922,0000,2.00
F0703948,P001,911,0000,0.00
F0703948,P002,923,0000,0.00
F0703948,P003,923,0000,0.00
F1700736,P601,922,0000,12.00
F1700736,P801,922,0000,0.00
F2300972,P101,924,0000,2.00
F2300972,P201,911,0000,2.60
F2300972,P301,922,0000,4.00
F0701702,P002,911,0006,5.00
F1600491,P901,911,0006,12.70
F1700736,P701,911,0006,1.00
F1700736,P801,911,0006,0.30
F0501686,P001,911,0006,0.50
F0701702,P001,911,0006,0.90
F0703948,P002,911,0006,0.00
F1700736,P601,911,0006,2.40
F0501686,P002,911,0006,1.20
F0703948,P003,911,0006,0.00
F2300972,P101,911,0006,1.30
F2300972,P301,911,0006,1.50
F0703948,P001,911,0006,0.00
F2300972,P201,911,0006,2.60
F0701702,P002,911,0012,5.00
F1600491,P901,911,0012,12.80
F1700736,P701,911,0012,1.00
F1700736,P801,911,0012,0.30
