2017-02-19,1487433600,,,
R8400827,P001,911,0000,3.5
R8500582,P001,911,0000,4.4
R8500582,P106,911,0000,1.5
R0503072,P001,911,0000,0
R0503072,P002,911,0000,3.7
R0503072,P003,911,0000,0
R0503072,P004,911,0000,0
R1407702,P001,911,0000,2.5
R1407702,P002,911,0000,2.1
D3202577,P001,911,0000,2.2
D3202577,P002,911,0000,0
R0500400,P003,911,0006,0
R8400827,P001,911,0006,4.2
R8500582,P001,911,0006,3.6
R8500582,P106,911,0006,1.5
R0503072,P001,911,0006,0
R0503072,P002,911,0006,3.7
R0503072,P003,911,0006,0
R0503072,P004,911,0006,0
R1407702,P001,911,0006,2.5
R1407702,P002,911,0006,2.1
D3202577,P001,911,0006,2.2
D3202577,P002,911,0006,0
