2016-12-15,1481731200,,,
A4200130,P001,922,,--
A4200130,P001,923,,--
A4200130,P001,924,,--
A4200130,P001,926,,--
A4200130,P001,936,,--
A4200130,P002,922,,--
A4200130,P002,923,,--
A4200130,P002,924,,--
A4200130,P002,926,,--
A4200130,P002,936,,--
A4200130,P003,922,,--
A4200130,P003,923,,--
A4200130,P003,924,,--
A4200130,P003,926,,--
A4200130,P003,936,,--
A4400916,P001,922,,--
A4400916,P001,923,,--
A4400916,P001,924,,--
A4400916,P001,926,,--
A4400916,P001,936,,--
A4400916,P002,922,,--
A4400916,P002,923,,--
A4400916,P002,924,,--
A4400916,P002,926,,--
A4400916,P002,936,,--
A4400916,P003,922,,--
A4400916,P003,923,,--
A4400916,P003,924,,--
A4400916,P003,926,,--
A4400916,P003,936,,--
A4400916,P004,922,,--
A4400916,P004,923,,--
A4400916,P004,924,,--
A4400916,P004,926,,--
A4400916,P004,936,,--
A4200130,P001,911,0000,1.50
A4200130,P002,911,0000,0.60
A4200130,P003,911,0000,1.10
A4400916,P001,911,0000,1.70
A4400916,P002,911,0000,1.70
A4400916,P003,911,0000,2.90
A4400916,P004,911,0000,2.20
A4200130,P001,922,0000,6.00
A4200130,P001,923,0000,94.00
A4200130,P001,924,0000,13.00
A4200130,P001,926,0000,21.00
A4200130,P001,936,0000,11.30
A4200130,P002,922,0000,9.00
A4200130,P002,923,0000,87.00
A4200130,P002,924,0000,9.00
A4200130,P002,926,0000,20.00
A4200130,P002,936,0000,12.10
A4200130,P003,922,0000,8.00
A4200130,P003,923,0000,98.00
A4200130,P003,924,0000,7.00
A4200130,P003,926,0000,21.00
A4200130,P003,936,0000,12.10
A4400916,P001,922,0000,2.00
A4400916,P001,923,0000,88.00
A4400916,P001,924,0000,1.00
A4400916,P001,926,0000,2.00
A4400916,P001,936,0000,11.80
A4400916,P002,922,0000,8.00
A4400916,P002,923,0000,95.00
A4400916,P002,924,0000,3.00
A4400916,P002,926,0000,17.00
A4400916,P002,936,0000,11.90
A4400916,P003,922,0000,26.00
A4400916,P003,923,0000,88.00
A4400916,P003,924,0000,1.00
A4400916,P003,926,0000,18.00
A4400916,P003,936,0000,13.70
A4400916,P004,922,0000,10.00
A4400916,P004,923,0000,94.00
A4400916,P004,924,0000,1.00
A4400916,P004,926,0000,15.00
A4400916,P004,936,0000,14.60
A4200130,P001,911,0006,1.70
A4200130,P002,911,0006,0.60
A4200130,P003,911,0006,1.10
A4400916,P001,911,0006,1.70
A4400916,P002,911,0006,1.70
A4400916,P003,911,0006,2.90
A4400916,P004,911,0006,2.20
A4200130,P001,911,0012,1.50
A4200130,P002,911,0012,0.60
A4200130,P003,911,0012,1.10
A4400916,P001,911,0012,1.70
A4400916,P002,911,0012,1.70
A4400916,P003,911,0012,2.80
A4400916,P004,911,0012,2.20
A4200130,P001,922,0015,7.00
A4200130,P001,923,0015,96.00
A4200130,P001,924,0015,15.00
A4200130,P001,926,0015,21.00
A4200130,P001,936,0015,11.30
A4200130,P002,922,0015,11.00
A4200130,P002,923,0015,91.00
A4200130,P002,924,0015,6.00
A4200130,P002,926,0015,23.00
A4200130,P002,936,0015,12.50
A4200130,P003,922,0015,7.00
A4200130,P003,923,0015,102.00
A4200130,P003,924,0015,7.00
A4200130,P003,926,0015,19.00
A4200130,P003,936,0015,12.30
A4400916,P001,922,0015,3.00
A4400916,P001,923,0015,91.00
A4400916,P001,924,0015,1.00
A4400916,P001,926,0015,3.00
A4400916,P001,936,0015,12.30
A4400916,P002,922,0015,7.00
A4400916,P002,923,0015,103.00
A4400916,P002,924,0015,3.00
A4400916,P002,926,0015,17.00
A4400916,P002,936,0015,11.70
A4400916,P003,922,0015,19.00
A4400916,P003,923,0015,96.00
A4400916,P003,924,0015,0.00
A4400916,P003,926,0015,17.00
A4400916,P003,936,0015,14.40
A4400916,P004,922,0015,8.00
A4400916,P004,923,0015,90.00
A4400916,P004,924,0015,1.00
A4400916,P004,926,0015,15.00
A4400916,P004,936,0015,14.50
A4200130,P001,911,0018,1.50
A4200130,P002,911,0018,0.60
A4200130,P003,911,0018,1.10
A4400916,P001,911,0018,1.70
A4400916,P002,911,0018,1.70
A4400916,P003,911,0018,2.70
A4400916,P004,911,0018,2.20
A4200130,P001,911,0024,1.60
A4200130,P002,911,0024,0.60
A4200130,P003,911,0024,1.10
A4400916,P001,911,0024,1.70
A4400916,P002,911,0024,1.70
A4400916,P003,911,0024,2.80
A4400916,P004,911,0024,2.20
A4200130,P001,911,0030,1.90
A4200130,P002,911,0030,0.60
A4200130,P003,911,0030,1.10
A4400916,P001,911,0030,1.70
A4400916,P002,911,0030,1.70
A4400916,P003,911,0030,2.90
A4400916,P004,911,0030,2.20
A4200130,P001,922,0030,5.00
A4200130,P001,923,0030,93.00
A4200130,P001,924,0030,12.00
A4200130,P001,926,0030,20.00
A4200130,P001,936,0030,11.40
A4200130,P002,922,0030,11.00
A4200130,P002,923,0030,88.00
A4200130,P002,924,0030,6.00
A4200130,P002,926,0030,22.00
A4200130,P002,936,0030,12.20
A4200130,P003,922,0030,8.00
A4200130,P003,923,0030,93.00
A4200130,P003,924,0030,7.00
A4200130,P003,926,0030,19.00
A4200130,P003,936,0030,11.20
A4400916,P001,922,0030,5.00
A4400916,P001,923,0030,94.00
A4400916,P001,924,0030,2.00
A4400916,P001,926,0030,8.00
A4400916,P001,936,0030,11.50
A4400916,P002,922,0030,7.00
A4400916,P002,923,0030,92.00
A4400916,P002,924,0030,1.00
A4400916,P002,926,0030,13.00
A4400916,P002,936,0030,12.00
A4400916,P003,922,0030,17.00
A4400916,P003,923,0030,96.00
A4400916,P003,924,0030,2.00
A4400916,P003,926,0030,13.00
A4400916,P003,936,0030,14.30
A4400916,P004,922,0030,8.00
A4400916,P004,923,0030,88.00
A4400916,P004,924,0030,3.00
A4400916,P004,926,0030,14.00
A4400916,P004,936,0030,14.60
A4200130,P001,911,0036,1.50
A4200130,P002,911,0036,0.60
A4200130,P003,911,0036,1.10
A4400916,P001,911,0036,1.70
A4400916,P002,911,0036,1.70
A4400916,P003,911,0036,2.80
A4400916,P004,911,0036,2.20
A4200130,P001,911,0042,1.50
A4200130,P002,911,0042,0.60
A4200130,P003,911,0042,1.10
A4400916,P001,911,0042,1.70
A4400916,P002,911,0042,1.70
A4400916,P003,911,0042,2.90
A4400916,P004,911,0042,2.20
A4200130,P001,922,0045,4.00
A4200130,P001,923,0045,91.00
A4200130,P001,924,0045,14.00
A4200130,P001,926,0045,19.00
A4200130,P001,936,0045,11.50
A4200130,P002,922,0045,11.00
A4200130,P002,923,0045,89.00
A4200130,P002,924,0045,8.00
A4200130,P002,926,0045,22.00
A4200130,P002,936,0045,12.40
A4200130,P003,922,0045,9.00
A4200130,P003,923,0045,92.00
A4200130,P003,924,0045,6.00
A4200130,P003,926,0045,21.00
A4200130,P003,936,0045,11.40
A4400916,P001,922,0045,5.00
A4400916,P001,923,0045,100.00
A4400916,P001,924,0045,1.00
A4400916,P001,926,0045,12.00
A4400916,P001,936,0045,12.40
A4400916,P002,922,0045,6.00
A4400916,P002,923,0045,106.00
A4400916,P002,924,0045,2.00
A4400916,P002,926,0045,15.00
A4400916,P002,936,0045,12.50
A4400916,P003,922,0045,18.00
A4400916,P003,923,0045,94.00
A4400916,P003,924,0045,10.00
A4400916,P003,926,0045,15.00
A4400916,P003,936,0045,14.20
A4400916,P004,922,0045,7.00
A4400916,P004,923,0045,92.00
A4400916,P004,924,0045,3.00
A4400916,P004,926,0045,13.00
A4400916,P004,936,0045,14.40
A4200130,P001,911,0048,1.50
A4200130,P002,911,0048,0.60
A4200130,P003,911,0048,1.20
A4400916,P001,911,0048,1.70
A4400916,P002,911,0048,1.70
A4400916,P003,911,0048,2.90
A4400916,P004,911,0048,2.20
A4200130,P001,911,0054,1.60
A4200130,P002,911,0054,0.60
A4200130,P003,911,0054,1.10
A4400916,P001,911,0054,1.70
A4400916,P002,911,0054,1.70
A4400916,P003,911,0054,2.90
A4400916,P004,911,0054,2.20
A4200130,P001,911,0100,1.50
A4200130,P002,911,0100,0.60
A4200130,P003,911,0100,1.30
A4400916,P001,911,0100,1.70
A4400916,P002,911,0100,1.70
A4400916,P003,911,0100,2.90
A4400916,P004,911,0100,2.20
A4000283,P001,922,2330,1.00
A4000283,P001,923,2330,63.00
A4000283,P001,924,2330,9.00
A4000283,P001,926,2330,7.00
A4000283,P001,936,2330,13.00
A4000283,P002,922,2330,6.00
A4000283,P002,923,2330,68.00
A4000283,P002,924,2330,6.00
A4000283,P002,926,2330,5.00
A4000283,P002,936,2330,10.50
A4000283,P003,922,2330,4.00
A4000283,P003,923,2330,80.00
A4000283,P003,924,2330,6.00
A4000283,P003,926,2330,3.00
A4000283,P003,936,2330,12.30
A4000283,P004,922,2330,0.00
A4000283,P004,923,2330,0.00
A4000283,P004,924,2330,0.00
A4000283,P004,926,2330,0.00
A4000283,P004,936,2330,0.00
A4200130,P001,922,2330,7.00
