2015-12-08,1449504000,,,
G3200778,P101,911,0000,15.20
G3200778,P101,936,0000,16.80
G3200778,P101,923,0000,289.00
G3200778,P102,911,0000,3.10
G3200778,P202,936,0000,16.40
G3200778,P202,923,0000,257.00
G3200778,P202,911,0000,10.00
G3200778,P301,936,0000,11.60
G3200778,P301,923,0000,316.00
G3200778,P301,911,0000,13.40
G3200778,P302,911,0000,7.80
G3200778,P101,211,0000,15.20
G3200778,P101,259,0000,67.00
G3200778,P101,248,0000,60279.00
G3200778,P101,236,0000,16.90
G3200778,P101,223,0000,245.00
G3200778,P102,211,0000,3.10
G3200778,P202,248,0000,74822.00
G3200778,P202,236,0000,16.30
G3200778,P202,223,0000,215.00
G3200778,P202,259,0000,62.00
G3200778,P202,211,0000,10.00
G3200778,P301,223,0000,306.00
G3200778,P301,236,0000,11.60
G3200778,P301,259,0000,89.00
G3200778,P301,248,0000,362272.00
G3200778,P301,211,0000,13.40
G3200778,P302,211,0000,7.80
G3200849,P201,936,0000,20.50
G3200849,P201,923,0000,3.00
G3200849,P201,911,0000,1.90
G3200849,P203,911,0000,4.10
G3200849,P301,911,0000,10.30
G3200849,P301,936,0000,11.60
G3200849,P301,923,0000,403.00
G3200849,P304,911,0000,5.90
G3200849,P201,223,0000,3.00
G3200849,P201,236,0000,20.50
G3200849,P201,248,0000,0.00
G3200849,P201,259,0000,19.00
G3200849,P201,211,0000,1.90
G3200849,P203,211,0000,4.10
G3200849,P301,211,0000,10.30
G3200849,P301,259,0000,89.00
G3200849,P301,248,0000,206597.00
G3200849,P301,236,0000,11.70
G3200849,P301,223,0000,396.00
G3200849,P304,211,0000,5.90
G4100017,P002,911,0000,8.30
G4100017,P002,936,0000,12.00
G4100017,P002,923,0000,97.00
G4100017,P004,911,0000,1.40
G4100017,P002,259,0000,76.00
G4100017,P002,248,0000,334090.00
G4100017,P002,211,0000,8.30
G4100017,P002,236,0000,11.90
G4100017,P002,223,0000,94.00
G4100017,P004,211,0000,1.40
G3700791,P105,911,0000,16.30
G3700791,P105,936,0000,6.10
G3700791,P105,923,0000,46.00
G3700791,P105,922,0000,6.00
G3700791,P115,936,0000,23.40
G3700791,P115,923,0000,0.00
G3700791,P115,922,0000,0.00
G3700791,P115,911,0000,9.70
G3700791,P105,259,0000,55.00
G3700791,P105,211,0000,16.30
G3700791,P105,248,0000,478256.00
G3700791,P105,236,0000,6.00
G3700791,P105,223,0000,45.00
G3700791,P105,222,0000,6.00
G3700791,P115,248,0000,13696.00
G3700791,P115,222,0000,0.00
G3700791,P115,211,0000,9.70
G3700791,P115,223,0000,1.00
G3700791,P115,236,0000,23.40
G3700791,P115,259,0000,46.00
G37A0585,P002,936,0000,9.60
G37A0585,P002,923,0000,331.00
G37A0585,P002,911,0000,12.60
G37A0585,P007,911,0000,4.10
G37A0585,P002,248,0000,316443.00
G37A0585,P002,259,0000,91.00
G37A0585,P002,223,0000,376.00
G37A0585,P002,236,0000,9.60
G37A0585,P002,211,0000,12.60
G37A0585,P007,211,0000,4.10
G32A0540,P001,911,0000,2.10
G32A0540,P001,211,0000,2.10
G3801239,P001,911,0000,1.60
G3801239,P001,936,0000,7.70
G3801239,P001,926,0000,2.00
G3801239,P001,924,0000,3.00
G3801239,P001,923,0000,79.00
G3801239,P002,911,0000,1.60
G3801239,P002,936,0000,7.10
G3801239,P002,923,0000,73.00
G3801239,P002,924,0000,53.00
G3801239,P002,926,0000,7.00
G3801239,P001,223,0000,75.00
G3801239,P001,259,0000,148.00
G3801239,P001,248,0000,65117.00
G3801239,P001,236,0000,8.00
G3801239,P001,224,0000,19.00
G3801239,P001,226,0000,3.00
G3801239,P001,211,0000,1.60
G3801239,P002,211,0000,1.60
G3801239,P002,223,0000,81.00
G3801239,P002,236,0000,7.30
G3801239,P002,259,0000,142.00
G3801239,P002,248,0000,68367.00
G3801239,P002,224,0000,23.00
G3801239,P002,226,0000,7.00
G3200778,P101,911,0006,15.20
G3200778,P102,911,0006,3.30
G3200778,P202,911,0006,9.90
G3200778,P301,911,0006,15.50
G3200778,P302,911,0006,8.30
G3200778,P101,211,0006,15.20
G3200778,P102,211,0006,3.30
G3200778,P202,211,0006,9.90
G3200778,P301,211,0006,15.50
G3200778,P302,211,0006,8.30
G3200849,P201,911,0006,1.90
G3200849,P203,911,0006,4.10
G3200849,P301,911,0006,9.30
G3200849,P304,911,0006,5.20
G3200849,P201,211,0006,1.90
G3200849,P203,211,0006,4.10
G3200849,P301,211,0006,9.30
G3200849,P304,211,0006,5.20
