2016-07-16,1468598400,,,
P5802074,P001,911,0000,2.96
P5802074,P001,922,0000,5.05
P5802074,P001,923,0000,25.09
P5802074,P001,924,0000,18.63
P5802074,P001,926,0000,2.02
P5802074,P001,936,0000,15.75
P5802074,P001,937,0000,7.5
P5802074,P002,911,0000,5.5
P5802074,P002,922,0000,0
P5802074,P002,923,0000,68.96
P5802074,P002,924,0000,3.81
P5802074,P002,926,0000,0.15
P5802074,P002,936,0000,16.96
P5802074,P002,937,0000,7.5
P5802092,PG01,911,0000,10.2
P5802092,PG01,922,0000,2
P5802092,PG01,923,0000,17
P5802092,PG01,936,0000,11.4
P5802092,PG02,911,0000,6.9
P5802092,PG02,922,0000,0
P5802092,PG02,923,0000,15
P5802092,PG02,936,0000,3.9
P5802421,P01A,911,0000,12.3
P5802421,P01A,922,0000,5
P5802421,P01A,923,0000,15
P5802421,P01A,924,0000,66
P5802421,P01A,936,0000,7
P5802421,P04A,911,0000,8.7
P5802421,P04A,922,0000,5
P5802421,P04A,923,0000,31
P5802421,P04A,924,0000,74
P5802421,P04A,936,0000,4.7
P5802421,P05A,911,0000,8.1
P5802421,P05A,922,0000,9
P5802421,P05A,923,0000,31
P5802421,P05A,924,0000,93
P5802421,P05A,936,0000,4.6
P5802421,P101,911,0000,3.5
P5802421,P201,911,0000,4.2
P5802421,P301,911,0000,2.8
P5802421,P401,911,0000,10
P5802421,P701,911,0000,-
P5802421,P801,911,0000,89.6
P5802421,PC01,911,0000,1.6
P5802421,PD01,911,0000,2.8
P5802421,PE01,911,0000,2.2
P5802421,PQ01,911,0000,-
P5802421,PQ01,922,0000,-
P5802421,PQ01,923,0000,-
P5802421,PQ01,924,0000,-
P5802421,PQ01,936,0000,-
P5802421,PQ01,937,0000,-
P5802430,PA01,911,0000,10.55
P5802430,PA01,922,0000,14.33
P5802430,PA01,923,0000,32.76
P5802430,PA01,924,0000,18.53
P5802430,PA01,936,0000,5.92
P5802430,PB01,911,0000,9.67
P5802430,PB01,922,0000,14.23
P5802430,PB01,923,0000,31.62
P5802430,PB01,924,0000,22.83
P5802430,PB01,936,0000,5.14
P5802430,PC01,911,0000,10.15
P5802430,PC01,922,0000,13.99
P5802430,PC01,923,0000,31.11
P5802430,PC01,924,0000,46.47
P5802430,PC01,936,0000,4.91
P5802430,PD01,911,0000,4.88
P5802430,PD01,922,0000,15.89
P5802430,PD01,923,0000,35.41
P5802430,PD01,924,0000,12.84
P5802430,PD01,936,0000,4.41
P5802430,PE01,911,0000,14.72
P5802430,PE01,922,0000,15.14
P5802430,PE01,923,0000,29.27
P5802430,PE01,924,0000,34.13
P5802430,PE01,936,0000,6.29
P4600987,P001,911,0000,2.4
P4600987,P001,922,0000,15
P4600987,P001,923,0000,153
P4600987,P001,936,0000,5.5
P4600987,P002,911,0000,4
P4600987,P002,922,0000,21
P4600987,P002,923,0000,147
P4600987,P002,936,0000,6.2
P6201053,P001,222,0000,25
P6201053,P001,223,0000,44
P6201053,P001,236,0000,18.4
P6201053,P001,248,0000,10283
P6201053,P001,259,0000,85
P6201053,P001,911,0000,3.4
P6201053,P001,922,0000,25
P6201053,P001,923,0000,42
P6201053,P001,936,0000,18.5
P6201053,P002,222,0000,1
P6201053,P002,223,0000,52
P6201053,P002,236,0000,15.1
P6201053,P002,248,0000,11006
P6201053,P002,259,0000,106
P6201053,P002,911,0000,3
P6201053,P002,922,0000,1
P6201053,P002,923,0000,56
P6201053,P002,936,0000,17.2
P5801719,P101,222,0000,4
P5801719,P101,223,0000,42
P5801719,P101,224,0000,72
P5801719,P101,236,0000,5.4
P5801719,P101,248,0000,2003999
P5801719,P101,259,0000,35
P5801719,P101,911,0000,7.5
P5801719,P101,922,0000,4
P5801719,P101,923,0000,44
P5801719,P101,924,0000,82
P5801719,P101,936,0000,5.4
P5801719,P201,222,0000,8
P5801719,P201,223,0000,38
P5801719,P201,224,0000,77
P5801719,P201,236,0000,4.6
P5801719,P201,248,0000,1993276
